municipality_code,municipality,date,population_density,population,area_m2
08127100GEMI,Rosengarten,2024-12-31,171,5309,31008449
08127101GEMI,Kreßberg,2022-12-31,83,4005,48458176
08127101GEMI,Kreßberg,2023-12-31,83,4014,48458175
08127101GEMI,Kreßberg,2024-12-31,83,4008,48458182
08127102GEMI,Fichtenau,2022-12-31,147,4613,31283233
08127102GEMI,Fichtenau,2023-12-31,147,4606,31283234
08127102GEMI,Fichtenau,2024-12-31,147,4588,31283231
08127103GEMI,Frankenhardt,2022-12-31,71,4962,69863040
08127103GEMI,Frankenhardt,2023-12-31,72,5011,69863042
08127103GEMI,Frankenhardt,2024-12-31,72,5026,69863030
08127104GEMI,Stimpfach,2022-12-31,91,3026,33355202
08127104GEMI,Stimpfach,2023-12-31,90,3000,33354004
08127104GEMI,Stimpfach,2024-12-31,89,2952,33353999
08128006GEMI,Assamstadt,2022-12-31,130,2237,17231086
08128006GEMI,Assamstadt,2023-12-31,129,2217,17230852
08128006GEMI,Assamstadt,2024-12-31,130,2236,17230852
08128007GEMI,"Bad Mergentheim, Stadt",2022-12-31,185,23994,129962629
08128007GEMI,"Bad Mergentheim, Stadt",2023-12-31,186,24182,129961942
08128007GEMI,"Bad Mergentheim, Stadt",2024-12-31,185,24023,129961948
08128014GEMI,"Boxberg, Stadt",2022-12-31,65,6648,101709178
08128014GEMI,"Boxberg, Stadt",2023-12-31,66,6663,101709174
08128014GEMI,"Boxberg, Stadt",2024-12-31,66,6709,101709177
08128020GEMI,"Creglingen, Stadt",2022-12-31,38,4493,117226401
08128020GEMI,"Creglingen, Stadt",2023-12-31,38,4465,117226399
08128020GEMI,"Creglingen, Stadt",2024-12-31,38,4453,117226395
08128039GEMI,"Freudenberg, Stadt",2022-12-31,106,3672,34762367
08128039GEMI,"Freudenberg, Stadt",2023-12-31,105,3654,34762367
08128039GEMI,"Freudenberg, Stadt",2024-12-31,104,3615,34762370
08128045GEMI,Großrinderfeld,2022-12-31,72,4058,56279175
08128045GEMI,Großrinderfeld,2023-12-31,72,4073,56279176
08128045GEMI,Großrinderfeld,2024-12-31,73,4088,56279179
08128047GEMI,"Grünsfeld, Stadt",2022-12-31,83,3719,44718201
08128047GEMI,"Grünsfeld, Stadt",2023-12-31,82,3657,44718198
08128047GEMI,"Grünsfeld, Stadt",2024-12-31,81,3640,44718197
08128058GEMI,Igersheim,2022-12-31,126,5411,42832526
08128058GEMI,Igersheim,2023-12-31,128,5466,42832527
08128058GEMI,Igersheim,2024-12-31,129,5517,42832527
08128061GEMI,Königheim,2022-12-31,49,3018,61214969
08128061GEMI,Königheim,2023-12-31,49,3010,61214951
08128061GEMI,Königheim,2024-12-31,50,3043,61214946
08128064GEMI,"Külsheim, Stadt",2022-12-31,65,5265,81426226
08128064GEMI,"Külsheim, Stadt",2023-12-31,66,5360,81426228
08128064GEMI,"Külsheim, Stadt",2024-12-31,66,5360,81426223
08128082GEMI,"Niederstetten, Stadt",2022-12-31,47,4875,104047514
08128082GEMI,"Niederstetten, Stadt",2023-12-31,47,4857,104047516
08128082GEMI,"Niederstetten, Stadt",2024-12-31,47,4906,104047490
08128115GEMI,"Tauberbischofsheim, Stadt",2022-12-31,193,13350,69292125
08128115GEMI,"Tauberbischofsheim, Stadt",2023-12-31,194,13463,69292143
08128115GEMI,"Tauberbischofsheim, Stadt",2024-12-31,194,13445,69292132
08128126GEMI,"Weikersheim, Stadt",2022-12-31,95,7695,80933048
08128126GEMI,"Weikersheim, Stadt",2023-12-31,97,7847,80933033
08128126GEMI,"Weikersheim, Stadt",2024-12-31,98,7902,80933037
08128128GEMI,Werbach,2022-12-31,74,3209,43165597
08128128GEMI,Werbach,2023-12-31,74,3197,43165601
08128128GEMI,Werbach,2024-12-31,74,3180,43165601
08128131GEMI,"Wertheim, Stadt",2022-12-31,165,22935,138590000
08128131GEMI,"Wertheim, Stadt",2023-12-31,167,23076,138589999
08128131GEMI,"Wertheim, Stadt",2024-12-31,165,22874,138590007
08128137GEMI,Wittighausen,2022-12-31,53,1705,32363640
08128137GEMI,Wittighausen,2023-12-31,54,1743,32363630
08128137GEMI,Wittighausen,2024-12-31,55,1789,32363632
08128138GEMI,Ahorn,2022-12-31,41,2215,53926621
08128138GEMI,Ahorn,2023-12-31,41,2216,53926614
08128138GEMI,Ahorn,2024-12-31,41,2209,53926616
08128139GEMI,"Lauda-Königshofen, Stadt",2022-12-31,151,14294,94440754
08128139GEMI,"Lauda-Königshofen, Stadt",2023-12-31,152,14313,94441611
08128139GEMI,"Lauda-Königshofen, Stadt",2024-12-31,150,14180,94441618
08135010GEMI,Dischingen,2022-12-31,56,4410,78062883
08135010GEMI,Dischingen,2023-12-31,57,4433,78062882
08135010GEMI,Dischingen,2024-12-31,56,4374,78062865
08135015GEMI,Gerstetten,2022-12-31,126,11679,92434865
08135015GEMI,Gerstetten,2023-12-31,126,11656,92434809
08135015GEMI,Gerstetten,2024-12-31,125,11551,92434800
08135016GEMI,"Giengen an der Brenz, Stadt",2022-12-31,447,19678,44069597
08135016GEMI,"Giengen an der Brenz, Stadt",2023-12-31,452,19907,44069596
08135016GEMI,"Giengen an der Brenz, Stadt",2024-12-31,453,19967,44069591
08135019GEMI,"Heidenheim an der Brenz, Stadt",2022-12-31,472,50584,107093746
08135019GEMI,"Heidenheim an der Brenz, Stadt",2023-12-31,471,50471,107093677
08135019GEMI,"Heidenheim an der Brenz, Stadt",2024-12-31,473,50618,107092357
08135020GEMI,"Herbrechtingen, Stadt",2022-12-31,227,13301,58629070
08135020GEMI,"Herbrechtingen, Stadt",2023-12-31,226,13237,58629181
08135020GEMI,"Herbrechtingen, Stadt",2024-12-31,226,13238,58629187
08135021GEMI,Hermaringen,2022-12-31,152,2317,15250340
08135021GEMI,Hermaringen,2023-12-31,153,2334,15250340
08135021GEMI,Hermaringen,2024-12-31,154,2341,15250343
08135025GEMI,Königsbronn,2022-12-31,155,7032,45443049
08135025GEMI,Königsbronn,2023-12-31,155,7022,45443193
08135025GEMI,Königsbronn,2024-12-31,155,7028,45443185
08135026GEMI,Nattheim,2022-12-31,143,6419,44993487
08135026GEMI,Nattheim,2023-12-31,147,6601,44993622
08135026GEMI,Nattheim,2024-12-31,146,6555,44993616
08135027GEMI,"Niederstotzingen, Stadt",2022-12-31,160,4755,29809034
08135027GEMI,"Niederstotzingen, Stadt",2023-12-31,163,4853,29809032
08135027GEMI,"Niederstotzingen, Stadt",2024-12-31,165,4916,29809027
08135031GEMI,Sontheim an der Brenz,2022-12-31,200,5780,28924626
08135031GEMI,Sontheim an der Brenz,2023-12-31,201,5802,28924624
08135031GEMI,Sontheim an der Brenz,2024-12-31,200,5771,28924623
08135032GEMI,Steinheim am Albuch,2022-12-31,107,8811,82425055
08135032GEMI,Steinheim am Albuch,2023-12-31,108,8925,82425055
08135032GEMI,Steinheim am Albuch,2024-12-31,108,8876,82425029
08136002GEMI,Abtsgmünd,2022-12-31,103,7404,71565559
08136002GEMI,Abtsgmünd,2023-12-31,104,7448,71565565
08136002GEMI,Abtsgmünd,2024-12-31,105,7501,71565563
08136003GEMI,Adelmannsfelden,2022-12-31,75,1714,22896693
08136003GEMI,Adelmannsfelden,2023-12-31,75,1711,22896690
08136003GEMI,Adelmannsfelden,2024-12-31,76,1732,22896689
08136007GEMI,Bartholomä,2022-12-31,101,2103,20752622
08136007GEMI,Bartholomä,2023-12-31,98,2041,20752622
08136007GEMI,Bartholomä,2024-12-31,98,2042,20752623
08136009GEMI,Böbingen an der Rems,2022-12-31,379,4626,12218695
08136009GEMI,Böbingen an der Rems,2023-12-31,377,4607,12218696
08136009GEMI,Böbingen an der Rems,2024-12-31,371,4539,12218694
08136010GEMI,"Bopfingen, Stadt",2022-12-31,151,11624,76960024
08136010GEMI,"Bopfingen, Stadt",2023-12-31,150,11570,76957258
08136010GEMI,"Bopfingen, Stadt",2024-12-31,150,11560,76957239
08136015GEMI,Durlangen,2022-12-31,264,2760,10435021
08136015GEMI,Durlangen,2023-12-31,264,2755,10435021
08136015GEMI,Durlangen,2024-12-31,262,2730,10434974
08136018GEMI,Ellenberg,2022-12-31,58,1754,30189475
08136018GEMI,Ellenberg,2023-12-31,61,1830,30189473
08136018GEMI,Ellenberg,2024-12-31,60,1815,30189463
08136019GEMI,"Ellwangen (Jagst), Stadt",2022-12-31,197,25127,127383178
08136019GEMI,"Ellwangen (Jagst), Stadt",2023-12-31,195,24826,127383185
08136019GEMI,"Ellwangen (Jagst), Stadt",2024-12-31,196,25001,127383177
08136020GEMI,Eschach,2022-12-31,91,1847,20277016
08136020GEMI,Eschach,2023-12-31,93,1883,20277018
08136020GEMI,Eschach,2024-12-31,95,1920,20277016
08136021GEMI,Essingen,2022-12-31,110,6435,58490444
08136021GEMI,Essingen,2023-12-31,110,6452,58490445
08136021GEMI,Essingen,2024-12-31,110,6444,58490473
08136024GEMI,Göggingen,2022-12-31,226,2570,11376560
08136024GEMI,Göggingen,2023-12-31,226,2573,11376559
08136024GEMI,Göggingen,2024-12-31,224,2545,11376568
08136027GEMI,Gschwend,2022-12-31,85,4655,54520339
08136027GEMI,Gschwend,2023-12-31,85,4615,54520339
08136027GEMI,Gschwend,2024-12-31,84,4581,54520338
08136028GEMI,"Heubach, Stadt",2022-12-31,389,10037,25784762
08136028GEMI,"Heubach, Stadt",2023-12-31,391,10086,25784720
08136028GEMI,"Heubach, Stadt",2024-12-31,393,10145,25784713
08136029GEMI,Heuchlingen,2022-12-31,204,1845,9033536
08136029GEMI,Heuchlingen,2023-12-31,202,1824,9033536
08136029GEMI,Heuchlingen,2024-12-31,206,1864,9033523
08136033GEMI,Hüttlingen,2022-12-31,323,6030,18695368
08136033GEMI,Hüttlingen,2023-12-31,324,6066,18695449
08136033GEMI,Hüttlingen,2024-12-31,324,6060,18695448
08136034GEMI,Iggingen,2022-12-31,222,2530,11391073
08136034GEMI,Iggingen,2023-12-31,229,2612,11391073
08136034GEMI,Iggingen,2024-12-31,229,2613,11391073
08136035GEMI,Jagstzell,2022-12-31,61,2307,37948824
08136035GEMI,Jagstzell,2023-12-31,62,2346,37950024
08136035GEMI,Jagstzell,2024-12-31,62,2365,37950011
08136037GEMI,Kirchheim am Ries,2022-12-31,85,1791,21051992
08136037GEMI,Kirchheim am Ries,2023-12-31,85,1782,21051996
08136037GEMI,Kirchheim am Ries,2024-12-31,83,1750,21051991
08136038GEMI,"Lauchheim, Stadt",2022-12-31,116,4736,40859551
08136038GEMI,"Lauchheim, Stadt",2023-12-31,118,4810,40865500
08136038GEMI,"Lauchheim, Stadt",2024-12-31,119,4857,40865497
08136040GEMI,Leinzell,2022-12-31,970,2050,2112875
08136040GEMI,Leinzell,2023-12-31,957,2023,2112875
08136040GEMI,Leinzell,2024-12-31,955,2018,2112876
08136042GEMI,"Lorch, Stadt",2022-12-31,317,10851,34282438
08136042GEMI,"Lorch, Stadt",2023-12-31,317,10883,34282438
08136042GEMI,"Lorch, Stadt",2024-12-31,315,10806,34282438
08136043GEMI,Mögglingen,2022-12-31,416,4274,10272446
08136043GEMI,Mögglingen,2023-12-31,416,4272,10272446
08136043GEMI,Mögglingen,2024-12-31,420,4317,10272447
08136044GEMI,Mutlangen,2022-12-31,777,6825,8786402
08136044GEMI,Mutlangen,2023-12-31,772,6783,8786404
08136044GEMI,Mutlangen,2024-12-31,772,6786,8786449
08136045GEMI,"Neresheim, Stadt",2022-12-31,68,8017,118505494
08136045GEMI,"Neresheim, Stadt",2023-12-31,68,8003,118505495
08136045GEMI,"Neresheim, Stadt",2024-12-31,67,7954,118506832
08136046GEMI,Neuler,2022-12-31,89,3220,36265611
08136046GEMI,Neuler,2023-12-31,89,3226,36265610
08136046GEMI,Neuler,2024-12-31,90,3270,36265609
08136049GEMI,Obergröningen,2022-12-31,72,423,5862494
08136049GEMI,Obergröningen,2023-12-31,74,432,5862494
08136049GEMI,Obergröningen,2024-12-31,73,427,5862493
08136050GEMI,"Oberkochen, Stadt",2022-12-31,334,7864,23548209
08136050GEMI,"Oberkochen, Stadt",2023-12-31,336,7922,23548068
08136050GEMI,"Oberkochen, Stadt",2024-12-31,329,7746,23548062
08136060GEMI,Rosenberg,2022-12-31,64,2621,41022827
08136060GEMI,Rosenberg,2023-12-31,62,2561,41022819
08136060GEMI,Rosenberg,2024-12-31,63,2575,41022824
08136061GEMI,Ruppertshofen,2022-12-31,131,1863,14213688
08136061GEMI,Ruppertshofen,2023-12-31,135,1919,14213690
08136061GEMI,Ruppertshofen,2024-12-31,136,1939,14213689
08136062GEMI,Schechingen,2022-12-31,186,2209,11870863
08136062GEMI,Schechingen,2023-12-31,188,2234,11870863
08136062GEMI,Schechingen,2024-12-31,189,2245,11870864
08136065GEMI,"Schwäbisch Gmünd, Stadt",2022-12-31,560,63700,113811408
08136065GEMI,"Schwäbisch Gmünd, Stadt",2023-12-31,563,64116,113811626
08136065GEMI,"Schwäbisch Gmünd, Stadt",2024-12-31,566,64416,113812254
08136066GEMI,Spraitbach,2022-12-31,273,3386,12391629
08136066GEMI,Spraitbach,2023-12-31,271,3360,12391628
08136066GEMI,Spraitbach,2024-12-31,269,3335,12391627
08136068GEMI,Stödtlen,2022-12-31,59,1831,31184312
08136068GEMI,Stödtlen,2023-12-31,59,1836,31184313
08136068GEMI,Stödtlen,2024-12-31,59,1825,31184306
08136070GEMI,Täferrot,2022-12-31,86,1027,12009729
08136070GEMI,Täferrot,2023-12-31,85,1017,12009729
08136070GEMI,Täferrot,2024-12-31,84,1008,12009728
08136071GEMI,Tannhausen,2022-12-31,101,1797,17743772
08136071GEMI,Tannhausen,2023-12-31,101,1797,17743772
08136071GEMI,Tannhausen,2024-12-31,102,1809,17743770
08136075GEMI,Unterschneidheim,2022-12-31,71,4862,68073456
08136075GEMI,Unterschneidheim,2023-12-31,72,4934,68073455
08136075GEMI,Unterschneidheim,2024-12-31,73,4975,68073444
08136079GEMI,Waldstetten,2022-12-31,337,7060,20956301
08136079GEMI,Waldstetten,2023-12-31,339,7104,20956302
08136079GEMI,Waldstetten,2024-12-31,337,7067,20956298
08136082GEMI,Westhausen,2022-12-31,159,6107,38454127
08136082GEMI,Westhausen,2023-12-31,161,6189,38450934
08136082GEMI,Westhausen,2024-12-31,160,6136,38450928
08136084GEMI,Wört,2022-12-31,82,1490,18170149
08136084GEMI,Wört,2023-12-31,83,1506,18170147
08136084GEMI,Wört,2024-12-31,83,1500,18170153
08136087GEMI,Riesbürg,2022-12-31,125,2248,17965236
08136087GEMI,Riesbürg,2023-12-31,123,2205,17965236
08136087GEMI,Riesbürg,2024-12-31,124,2234,17965239
08136088GEMI,"Aalen, Stadt",2022-12-31,459,67342,146582946
08136088GEMI,"Aalen, Stadt",2023-12-31,462,67724,146582942
08136088GEMI,"Aalen, Stadt",2024-12-31,461,67621,146582796
08136089GEMI,Rainau,2022-12-31,133,3381,25471012
08136089GEMI,Rainau,2023-12-31,133,3380,25470938
08136089GEMI,Rainau,2024-12-31,132,3354,25471020
08211000GEMI,"Baden-Baden, Stadt",2022-12-31,400,56094,140194283
08211000GEMI,"Baden-Baden, Stadt",2023-12-31,403,56526,140194332
08211000GEMI,"Baden-Baden, Stadt",2024-12-31,406,56881,140194329
08212000GEMI,"Karlsruhe, Stadt",2022-12-31,1768,306630,173423965
08212000GEMI,"Karlsruhe, Stadt",2023-12-31,1777,308197,173424289
08212000GEMI,"Karlsruhe, Stadt",2024-12-31,1782,309050,173424053
08215007GEMI,"Bretten, Stadt",2022-12-31,424,30169,71097890
08215007GEMI,"Bretten, Stadt",2023-12-31,426,30264,71097959
08215007GEMI,"Bretten, Stadt",2024-12-31,426,30274,71097950
08215009GEMI,"Bruchsal, Stadt",2022-12-31,507,47155,93043253
08215009GEMI,"Bruchsal, Stadt",2023-12-31,511,47574,93043255
08215009GEMI,"Bruchsal, Stadt",2024-12-31,514,47784,93043253
08215017GEMI,"Ettlingen, Stadt",2022-12-31,679,38534,56753680
08215017GEMI,"Ettlingen, Stadt",2023-12-31,680,38597,56753678
08215017GEMI,"Ettlingen, Stadt",2024-12-31,680,38578,56753681
08215021GEMI,Forst,2022-12-31,710,8135,11461587
08215021GEMI,Forst,2023-12-31,709,8127,11461588
08215021GEMI,Forst,2024-12-31,705,8083,11461588
08215025GEMI,Gondelsheim,2022-12-31,275,4087,14860520
08215025GEMI,Gondelsheim,2023-12-31,279,4142,14860518
08215025GEMI,Gondelsheim,2024-12-31,281,4172,14860518
08215029GEMI,Hambrücken,2022-12-31,505,5545,10976520
08215029GEMI,Hambrücken,2023-12-31,507,5567,10976541
08215029GEMI,Hambrücken,2024-12-31,508,5581,10976542
08215039GEMI,Kronau,2022-12-31,549,5982,10904053
08215039GEMI,Kronau,2023-12-31,546,5955,10904052
08215039GEMI,Kronau,2024-12-31,547,5969,10904053
08215040GEMI,Kürnbach,2022-12-31,185,2341,12660216
08215040GEMI,Kürnbach,2023-12-31,187,2369,12660215
08215040GEMI,Kürnbach,2024-12-31,190,2407,12660216
08215046GEMI,Malsch,2022-12-31,293,15032,51235513
08215046GEMI,Malsch,2023-12-31,294,15062,51235514
08215046GEMI,Malsch,2024-12-31,290,14880,51235512
08215047GEMI,Marxzell,2022-12-31,146,5084,34918838
08215047GEMI,Marxzell,2023-12-31,146,5083,34918838
08215047GEMI,Marxzell,2024-12-31,144,5040,34918834
08215059GEMI,"Oberderdingen, Stadt",2022-12-31,345,11568,33568528
08215059GEMI,"Oberderdingen, Stadt",2023-12-31,349,11721,33568527
08215059GEMI,"Oberderdingen, Stadt",2024-12-31,348,11690,33568517
08215064GEMI,"Östringen, Stadt",2022-12-31,251,13378,53282713
08215064GEMI,"Östringen, Stadt",2023-12-31,252,13443,53282718
08215064GEMI,"Östringen, Stadt",2024-12-31,252,13450,53282719
08215066GEMI,"Philippsburg, Stadt",2022-12-31,270,13628,50540526
08215066GEMI,"Philippsburg, Stadt",2023-12-31,270,13670,50540529
08215066GEMI,"Philippsburg, Stadt",2024-12-31,272,13748,50540535
08215082GEMI,Sulzfeld,2022-12-31,269,5052,18754338
08215082GEMI,Sulzfeld,2023-12-31,273,5127,18754338
08215082GEMI,Sulzfeld,2024-12-31,274,5131,18754339
08215084GEMI,Ubstadt-Weiher,2022-12-31,363,13239,36489441
08215084GEMI,Ubstadt-Weiher,2023-12-31,365,13302,36489443
08215084GEMI,Ubstadt-Weiher,2024-12-31,361,13178,36489445
08215089GEMI,Walzbachtal,2022-12-31,270,9913,36684330
08215089GEMI,Walzbachtal,2023-12-31,270,9919,36684332
08215089GEMI,Walzbachtal,2024-12-31,270,9904,36684332
08215090GEMI,Weingarten (Baden),2022-12-31,355,10440,29376388
08215090GEMI,Weingarten (Baden),2023-12-31,357,10480,29376388
08215090GEMI,Weingarten (Baden),2024-12-31,359,10534,29376386
08215094GEMI,Zaisenhausen,2022-12-31,184,1860,10095039
08215094GEMI,Zaisenhausen,2023-12-31,183,1848,10095038
08215094GEMI,Zaisenhausen,2024-12-31,183,1844,10095039
08215096GEMI,Karlsbad,2022-12-31,424,16130,38014216
08215096GEMI,Karlsbad,2023-12-31,422,16050,38014214
08215096GEMI,Karlsbad,2024-12-31,422,16049,38014215
08215097GEMI,"Kraichtal, Stadt",2022-12-31,182,14653,80593459
08215097GEMI,"Kraichtal, Stadt",2023-12-31,181,14595,80593450
08215097GEMI,"Kraichtal, Stadt",2024-12-31,181,14602,80593442
08215099GEMI,Graben-Neudorf,2022-12-31,422,12145,28802275
08215099GEMI,Graben-Neudorf,2023-12-31,430,12387,28802274
08215099GEMI,Graben-Neudorf,2024-12-31,432,12453,28802273
08215100GEMI,Bad Schönborn,2022-12-31,549,13239,24102575
08215100GEMI,Bad Schönborn,2023-12-31,554,13342,24102572
08215100GEMI,Bad Schönborn,2024-12-31,564,13583,24102571
08215101GEMI,Pfinztal,2022-12-31,588,18264,31052202
08215101GEMI,Pfinztal,2023-12-31,590,18324,31052176
08215101GEMI,Pfinztal,2024-12-31,585,18178,31052171
08215102GEMI,Eggenstein-Leopoldshafen,2022-12-31,651,16984,26105530
08215102GEMI,Eggenstein-Leopoldshafen,2023-12-31,646,16853,26105536
08215102GEMI,Eggenstein-Leopoldshafen,2024-12-31,643,16798,26105534
08215103GEMI,Karlsdorf-Neuthard,2022-12-31,762,10684,14017410
08215103GEMI,Karlsdorf-Neuthard,2023-12-31,763,10697,14017411
08215103GEMI,Karlsdorf-Neuthard,2024-12-31,763,10693,14017413
08215105GEMI,Linkenheim-Hochstetten,2022-12-31,523,12332,23597965
08215105GEMI,Linkenheim-Hochstetten,2023-12-31,523,12342,23597967
08215105GEMI,Linkenheim-Hochstetten,2024-12-31,529,12484,23597966
08215106GEMI,"Waghäusel, Stadt",2022-12-31,515,22076,42837623
08215106GEMI,"Waghäusel, Stadt",2023-12-31,523,22401,42837603
08215106GEMI,"Waghäusel, Stadt",2024-12-31,524,22466,42837602
08215107GEMI,Oberhausen-Rheinhausen,2022-12-31,505,9549,18922837
08215107GEMI,Oberhausen-Rheinhausen,2023-12-31,505,9563,18922842
08215107GEMI,Oberhausen-Rheinhausen,2024-12-31,505,9565,18922838
08215108GEMI,"Rheinstetten, Stadt",2022-12-31,650,21008,32311149
08215108GEMI,"Rheinstetten, Stadt",2023-12-31,651,21047,32311149
08215108GEMI,"Rheinstetten, Stadt",2024-12-31,658,21267,32311146
08215109GEMI,"Stutensee, Stadt",2022-12-31,546,24954,45678249
08215109GEMI,"Stutensee, Stadt",2023-12-31,549,25070,45678248
08215109GEMI,"Stutensee, Stadt",2024-12-31,553,25259,45678249
08215110GEMI,Waldbronn,2022-12-31,1185,13447,11347241
08215110GEMI,Waldbronn,2023-12-31,1205,13676,11347244
08215110GEMI,Waldbronn,2024-12-31,1220,13838,11347247
08215111GEMI,Dettenheim,2022-12-31,219,6771,30891786
08215111GEMI,Dettenheim,2023-12-31,219,6753,30891781
08215111GEMI,Dettenheim,2024-12-31,220,6782,30891780
08216002GEMI,Au am Rhein,2022-12-31,257,3411,13288535
08216002GEMI,Au am Rhein,2023-12-31,258,3428,13288533
08216002GEMI,Au am Rhein,2024-12-31,253,3368,13288533
08216005GEMI,Bietigheim,2022-12-31,467,6493,13897908
08216005GEMI,Bietigheim,2023-12-31,467,6488,13897909
08216005GEMI,Bietigheim,2024-12-31,465,6468,13897908
08216006GEMI,Bischweier,2022-12-31,656,3015,4595047
08216006GEMI,Bischweier,2023-12-31,643,2954,4595046
08216006GEMI,Bischweier,2024-12-31,654,3003,4595032
08216007GEMI,"Bühl, Stadt",2022-12-31,394,28817,73176777
08216007GEMI,"Bühl, Stadt",2023-12-31,395,28910,73176777
08216007GEMI,"Bühl, Stadt",2024-12-31,391,28608,73176726
08216008GEMI,Bühlertal,2022-12-31,443,7821,17672910
08216008GEMI,Bühlertal,2023-12-31,444,7848,17672910
08216008GEMI,Bühlertal,2024-12-31,439,7764,17672907
08216009GEMI,Durmersheim,2022-12-31,454,11790,25972594
08216009GEMI,Durmersheim,2023-12-31,456,11853,25972598
08216009GEMI,Durmersheim,2024-12-31,454,11780,25972598
08216012GEMI,Elchesheim-Illingen,2022-12-31,319,3229,10134368
08216012GEMI,Elchesheim-Illingen,2023-12-31,316,3204,10134362
08216012GEMI,Elchesheim-Illingen,2024-12-31,322,3262,10134364
08216013GEMI,Forbach,2022-12-31,34,4518,131863892
08216013GEMI,Forbach,2023-12-31,34,4466,131863893
08216013GEMI,Forbach,2024-12-31,35,4562,131863975
08216015GEMI,"Gaggenau, Stadt",2022-12-31,456,29624,65011454
08216015GEMI,"Gaggenau, Stadt",2023-12-31,455,29571,65011453
08216015GEMI,"Gaggenau, Stadt",2024-12-31,454,29529,65011455
08216017GEMI,"Gernsbach, Stadt",2022-12-31,174,14250,82028806
08216017GEMI,"Gernsbach, Stadt",2023-12-31,174,14286,82028807
08216017GEMI,"Gernsbach, Stadt",2024-12-31,176,14405,82029193
08216022GEMI,Hügelsheim,2022-12-31,337,5029,14905042
08216022GEMI,Hügelsheim,2023-12-31,337,5030,14905040
08216022GEMI,Hügelsheim,2024-12-31,335,4999,14905038
08216023GEMI,Iffezheim,2022-12-31,262,5213,19913957
08216023GEMI,Iffezheim,2023-12-31,262,5219,19913936
08216023GEMI,Iffezheim,2024-12-31,262,5219,19913933
08216024GEMI,"Kuppenheim, Stadt",2022-12-31,457,8256,18079580
08216024GEMI,"Kuppenheim, Stadt",2023-12-31,459,8303,18079582
08216024GEMI,"Kuppenheim, Stadt",2024-12-31,455,8224,18079589
08216028GEMI,"Lichtenau, Stadt",2022-12-31,180,4979,27615050
08216028GEMI,"Lichtenau, Stadt",2023-12-31,181,4997,27615052
08216028GEMI,"Lichtenau, Stadt",2024-12-31,182,5015,27615081
08216029GEMI,Loffenau,2022-12-31,149,2540,17062785
08216029GEMI,Loffenau,2023-12-31,146,2483,17062785
08216029GEMI,Loffenau,2024-12-31,146,2491,17062420
08216033GEMI,Muggensturm,2022-12-31,529,6119,11557938
08216033GEMI,Muggensturm,2023-12-31,525,6072,11557938
08216033GEMI,Muggensturm,2024-12-31,528,6103,11557940
08216039GEMI,Ötigheim,2022-12-31,453,4973,10979027
08216039GEMI,Ötigheim,2023-12-31,466,5114,10979024
08216039GEMI,Ötigheim,2024-12-31,465,5110,10979025
08216041GEMI,Ottersweier,2022-12-31,219,6394,29214376
08216041GEMI,Ottersweier,2023-12-31,218,6379,29214375
08216041GEMI,Ottersweier,2024-12-31,217,6350,29214384
08216043GEMI,"Rastatt, Stadt",2022-12-31,857,50537,58979762
08216043GEMI,"Rastatt, Stadt",2023-12-31,866,51073,58979740
08216043GEMI,"Rastatt, Stadt",2024-12-31,860,50741,58979736
08216049GEMI,Sinzheim,2022-12-31,403,11487,28497166
08216049GEMI,Sinzheim,2023-12-31,406,11567,28497168
08216049GEMI,Sinzheim,2024-12-31,407,11608,28497166
08216052GEMI,Steinmauern,2022-12-31,257,3185,12415091
08216052GEMI,Steinmauern,2023-12-31,257,3186,12415091
08216052GEMI,Steinmauern,2024-12-31,258,3201,12415091
08216059GEMI,Weisenbach,2022-12-31,271,2461,9071956
08216059GEMI,Weisenbach,2023-12-31,268,2427,9071958
08216059GEMI,Weisenbach,2024-12-31,265,2400,9071957
08216063GEMI,Rheinmünster,2022-12-31,154,6557,42499380
08216063GEMI,Rheinmünster,2023-12-31,153,6498,42499379
08216063GEMI,Rheinmünster,2024-12-31,154,6527,42499383
08221000GEMI,"Heidelberg, Stadt",2022-12-31,1420,154570,108831378
08221000GEMI,"Heidelberg, Stadt",2023-12-31,1426,155175,108831303
08221000GEMI,"Heidelberg, Stadt",2024-12-31,1431,155756,108831317
08222000GEMI,"Mannheim, Universitätsstadt",2022-12-31,2173,314961,144971976
08222000GEMI,"Mannheim, Universitätsstadt",2023-12-31,2181,316256,144972012
08222000GEMI,"Mannheim, Universitätsstadt",2024-12-31,2194,318035,144972038
08225001GEMI,"Adelsheim, Stadt",2022-12-31,116,5070,43837906
08225001GEMI,"Adelsheim, Stadt",2023-12-31,117,5127,43837905
08225001GEMI,"Adelsheim, Stadt",2024-12-31,119,5207,43837909
08225002GEMI,Aglasterhausen,2022-12-31,212,4848,22839963
08225002GEMI,Aglasterhausen,2023-12-31,213,4871,22839964
08225002GEMI,Aglasterhausen,2024-12-31,211,4825,22839964
08225009GEMI,Billigheim,2022-12-31,123,6021,48942160
08225009GEMI,Billigheim,2023-12-31,124,6061,48942162
08225009GEMI,Billigheim,2024-12-31,124,6063,48942163
08225010GEMI,Binau,2022-12-31,278,1343,4829567
08225010GEMI,Binau,2023-12-31,275,1329,4829568
08225010GEMI,Binau,2024-12-31,274,1323,4829558
08225014GEMI,"Buchen (Odenwald), Stadt",2022-12-31,131,18162,138928202
