statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;2441299652;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;481;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;2886747003;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;186;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;2529138318;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;197;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;4764758228;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;196;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;3501084184;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;184;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;2755787799;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;255;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;4764759329;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;196;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;2441299806;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;480;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;2529137850;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;196;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;4061509454;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;277;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;2886747203;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;185;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;4764759468;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;195;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;2464543587;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;292;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;2137029722;m²;FLC006;Gebietsfläche
